"","ID1","DataType","ExptNumber","MouseID","strainName","sex","Date","birthDate","ExptDoneBy","Age(wks)","BodyWeight","DrugBottleStartWeight","WaterBottleStartWeight","DrugBottleEndWeight","WaterBottleEndWeight","MeasureDays","d7","d8","d9","d10","d11","d12","d13","Drug","DrugDose","DoseUnits","d14","d15","d16","d17","d18","d19","d20","d21","d22","d23","d24","d25","mg/kg formula check","MouseIDDateMaster","MouseIDDateMDTStatic","MouseIDDateQC","coatColor","origin","Group","nickname","SucrosePreference","OralMethPreference","DrugVolConsumed","WaterVolConsumed","DrugPreferenceScore","DrugMassConsumed","TestNumber"
"12",14940,"Oral methamphetamine","SUC0028","014825","B6NJ-Fndc4-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-24,"11/6/2022 0:00:00","Marina",15.71,27.6,71.3,82.9,66.4,81.3,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,171533.34,"014825_2/24/2023","014825_2/24/2023","yes","","Kumar Lab","KOMP","Fndc4","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",4.89999999999999,1.60000000000001,0.753846153846153,0.00355072463768115,5
"13",14873,"Oral methamphetamine","SUC0029","015002","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-13,"11/13/2022 0:00:00","Marina",13.14,17.7,88.1,80,83.2,79.1,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414119.72,"015002_2/13/2023","015002_2/13/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",4.90000000000001,0.899999999999991,0.844827586206898,0.00276836158192091,1
"14",14891,"Oral methamphetamine","SUC0029","015002","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-15,"11/13/2022 0:00:00","Marina",13.42,17.4,83.2,79.1,81.6,71.5,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,390179.29,"015002_2/15/2023","015002_2/15/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",1.59999999999999,7.60000000000001,0.17391304347826,0.000919540229885054,2
"15",14927,"Oral methamphetamine","SUC0029","015002","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-22,"11/13/2022 0:00:00","Marina",14.42,18,79.1,82.8,74.1,80.4,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,325628.3,"015002_2/22/2023","015002_2/22/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",5,2.39999999999999,0.675675675675676,0.00555555555555556,4
"16",14945,"Oral methamphetamine","SUC0029","015002","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-24,"11/13/2022 0:00:00","Marina",14.71,17.3,74.1,80.4,68.4,79.3,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,292973.41,"015002_2/24/2023","015002_2/24/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",5.7,1.10000000000001,0.838235294117646,0.00658959537572255,5
"17",14878,"Oral methamphetamine","SUC0029","015003","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-13,"11/13/2022 0:00:00","Marina",13.14,20.2,82.9,75.9,81.4,69.7,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,334062.36,"015003_2/13/2023","015003_2/13/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",1.5,6.2,0.194805194805195,0.000742574257425743,1
"18",14896,"Oral methamphetamine","SUC0029","015003","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-15,"11/13/2022 0:00:00","Marina",13.42,21.2,81.4,69.7,77,63.2,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,295650.94,"015003_2/15/2023","015003_2/15/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",4.40000000000001,6.5,0.403669724770643,0.00207547169811321,2
"19",14932,"Oral methamphetamine","SUC0029","015003","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-22,"11/13/2022 0:00:00","Marina",14.42,21.7,81.3,83.9,76.5,81,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,286610.59,"015003_2/22/2023","015003_2/22/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",4.8,2.90000000000001,0.623376623376623,0.00442396313364055,4
"20",14950,"Oral methamphetamine","SUC0029","015003","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-24,"11/13/2022 0:00:00","Marina",14.71,21.3,76.5,81,72,78,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258591.55,"015003_2/24/2023","015003_2/24/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",4.5,3,0.6,0.00422535211267606,5
"21",14874,"Oral methamphetamine","SUC0029","015006","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-13,"11/13/2022 0:00:00","Marina",13.14,21.8,86.9,76.3,83.5,74,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,332850.92,"015006_2/13/2023","015006_2/13/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",3.40000000000001,2.3,0.596491228070176,0.00155963302752294,1
"22",14892,"Oral methamphetamine","SUC0029","015006","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-15,"11/13/2022 0:00:00","Marina",13.42,21.8,83.5,74,79.6,70.4,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304889.92,"015006_2/15/2023","015006_2/15/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",3.89999999999999,3.59999999999999,0.52,0.00178899082568807,2
"23",14928,"Oral methamphetamine","SUC0029","015006","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-22,"11/13/2022 0:00:00","Marina",14.42,22.3,79.8,81.7,74.9,79.3,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268027.83,"015006_2/22/2023","015006_2/22/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",4.89999999999999,2.40000000000001,0.671232876712328,0.00439461883408071,4
"24",14946,"Oral methamphetamine","SUC0029","015006","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-24,"11/13/2022 0:00:00","Marina",14.71,22.4,74.9,79.3,70.7,77.5,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,236403.11,"015006_2/24/2023","015006_2/24/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",4.2,1.8,0.7,0.00375,5
"25",14879,"Oral methamphetamine","SUC0029","015008","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-13,"11/12/2022 0:00:00","Marina",13.28,21.1,82,76.7,76.2,75.5,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,296132.69,"015008_2/13/2023","015008_2/13/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",5.8,1.2,0.828571428571428,0.00274881516587678,1
"26",14897,"Oral methamphetamine","SUC0029","015008","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-15,"11/12/2022 0:00:00","Marina",13.57,21.5,76.2,75.5,72.1,65.8,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,255535.79,"015008_2/15/2023","015008_2/15/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",4.09999999999999,9.7,0.297101449275362,0.00190697674418604,2
"27",14933,"Oral methamphetamine","SUC0029","015008","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-22,"11/12/2022 0:00:00","Marina",14.57,22.3,76.6,86.7,71.3,85.1,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,244913.91,"015008_2/22/2023","015008_2/22/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",5.30000000000001,1.59999999999999,0.768115942028986,0.00475336322869956,4
"28",14951,"Oral methamphetamine","SUC0029","015008","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-24,"11/12/2022 0:00:00","Marina",14.85,21.8,71.3,85.1,65,84.3,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,212591.75,"015008_2/24/2023","015008_2/24/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",6.3,0.800000000000011,0.88732394366197,0.00577981651376146,5
"29",14876,"Oral methamphetamine","SUC0029","015009","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-13,"11/12/2022 0:00:00","Marina",13.28,18.5,84.2,74.4,79,73.2,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359556.74,"015009_2/13/2023","015009_2/13/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",5.2,1.2,0.8125,0.00281081081081081,1
"30",14894,"Oral methamphetamine","SUC0029","015009","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-15,"11/12/2022 0:00:00","Marina",13.57,18.7,79,73.2,70.9,70.2,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,299524.05,"015009_2/15/2023","015009_2/15/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",8.09999999999999,3,0.72972972972973,0.00433155080213903,2
"31",14930,"Oral methamphetamine","SUC0029","015009","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-22,"11/12/2022 0:00:00","Marina",14.57,19.5,74.9,83.9,67.8,82.6,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,260421.54,"015009_2/22/2023","015009_2/22/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",7.10000000000001,1.3,0.845238095238096,0.00728205128205129,4
"32",14948,"Oral methamphetamine","SUC0029","015009","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-24,"11/12/2022 0:00:00","Marina",14.85,19.5,67.8,82.6,61.7,81.8,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,214526.16,"015009_2/24/2023","015009_2/24/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",6.09999999999999,0.800000000000011,0.884057971014491,0.00625641025641025,5
"33",14877,"Oral methamphetamine","SUC0029","015011","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-13,"11/12/2022 0:00:00","Marina",13.28,20.9,85.4,83.2,79,82.3,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,322803.83,"015011_2/13/2023","015011_2/13/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",6.40000000000001,0.900000000000006,0.876712328767123,0.0030622009569378,1
"34",14895,"Oral methamphetamine","SUC0029","015011","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-15,"11/12/2022 0:00:00","Marina",13.57,21.6,79,82.3,72.4,79.4,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,264796.29,"015011_2/15/2023","015011_2/15/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",6.59999999999999,2.89999999999999,0.694736842105264,0.00305555555555555,2
"35",14931,"Oral methamphetamine","SUC0029","015011","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-22,"11/12/2022 0:00:00","Marina",14.57,21.8,73.7,84.5,67.4,82.3,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,227861.47,"015011_2/22/2023","015011_2/22/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",6.3,2.2,0.741176470588235,0.00577981651376146,4
"36",14949,"Oral methamphetamine","SUC0029","015011","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","F",2023-02-24,"11/12/2022 0:00:00","Marina",14.85,21.9,67.4,82.3,60.7,81.1,2,NA,NA,NA,NA,NA,NA,"Day 5- Day 7","Methamphetamine drinking","40","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186811.88,"015011_2/24/2023","015011_2/24/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",6.7,1.19999999999999,0.848101265822786,0.00611872146118722,5
"37",14880,"Oral methamphetamine","SUC0029","015018","B6NJ-Tmem151b-/- Cyfip2-S968F<J> Hom Breed Well","M",2023-02-13,"11/12/2022 0:00:00","Marina",13.28,25.7,82.1,89.2,77.2,87.4,2,NA,NA,NA,NA,NA,NA,"Day 3- Day 5","Methamphetamine drinking","20","mg_L","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,246619.43,"015018_2/13/2023","015018_2/13/2023","yes","","Kumar Lab","KOMP","Tmem151b","SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both","OM2: 3 days water, 5 days 20mg-L, 3 day break, 5 days 40mg-L oral methamphetamine",4.90000000000001,1.8,0.73134328358209,0.00190661478599222,1
