ID1	DataType	ExptNumber	MouseID	strainName	sex	Date	birthDate	ExptDoneBy	Age.wks.	BodyWeight	DrugBottleStartWeight	WaterBottleStartWeight	DrugBottleEndWeight	WaterBottleEndWeight	MeasureDays	d7	d8	d9	d10	d11	d12	d13	Drug	DrugDose	DoseUnits	d14	d15	d16	d17	d18	d19	d20	d21	d22	d23	d24	d25	mg.kg.formula.check	MouseIDDateMaster	MouseIDDateMDTStatic	MouseIDDateQC	coatColor	origin	Group	nickname	SucrosePreference	OralMethPreference	DrugVolConsumed	WaterVolConsumed	DrugPreferenceScore	DrugMassConsumed	TestNumber
14219	Sucrose	SUC0006	010202	B6NJ-Bcl11b+/- Cyfip2-S968F<J> H Lethal	M	2022-08-22T00:00:00Z	6/18/2022 0:00:00	Marina	9.28	27.9	85.2	88.6	69.3	87.2	2							Day 3- Day 5	Sucrose Drinking	2	percent	""	""											211625.8	010202_8/22/2022	010202_8/22/2022	yes	""	Kumar Lab	KOMP	Bcl11b	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	15.9	1.39999999999999	0.919075144508671	0.00056989247311828	2
14223	Sucrose	SUC0006	010202	B6NJ-Bcl11b+/- Cyfip2-S968F<J> H Lethal	M	2022-08-24T00:00:00Z	6/18/2022 0:00:00	Marina	9.57	28.2	83.5	82.1	68.6	80.8	2							Day 5- Day 7	Sucrose Drinking	2	percent	""	""											203124.11	010202_8/24/2022	010202_8/24/2022	yes	""	Kumar Lab	KOMP	Bcl11b	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	14.9	1.3	0.919753086419753	0.000528368794326241	3
14188	Sucrose	SUC0002	010561	C57BL/6J	M	2022-08-09T00:00:00Z	5/17/2022 0:00:00	Marina	12		78.8	82.4	74.4	77.1	2							Day 1 - Day 3	Both water bottles	0	Percent	""	""												010561_8/9/2022	010561_8/9/2022	yes	""	Kumar Lab	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	4.39999999999999	5.30000000000001	0.453608247422679		1
14196	Sucrose	SUC0002	010561	C57BL/6J	M	2022-08-12T00:00:00Z	5/17/2022 0:00:00	Marina	12.42		85.2	77.1	62	75.1	2							Day 3- Day 5	Sucrose Drinking	2	percent	""	""												010561_8/12/2022	010561_8/12/2022	yes	""	Kumar Lab	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	23.2	2	0.920634920634921		2
14204	Sucrose	SUC0002	010561	C57BL/6J	M	2022-08-14T00:00:00Z	5/17/2022 0:00:00	Marina	12.71		70	72.7	59.8	70.7	2							Day 5- Day 7	Sucrose Drinking	2	percent	""	""												010561_8/14/2022	010561_8/14/2022	yes	""	Kumar Lab	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	10.2	2	0.836065573770492		3
14212	Sucrose	SUC0002	010561	C57BL/6J	M	2022-08-16T00:00:00Z	5/17/2022 0:00:00	Marina	13		87.3	73.6	75.6	71.9	2							Day 7- Day 8	Sucrose Drinking	2	percent	""	""												010561_8/16/2022	010561_8/16/2022	yes	""	Kumar Lab	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	11.7	1.69999999999999	0.87313432835821		4
14185	Sucrose	SUC0002	010562	C57BL/6J	M	2022-08-09T00:00:00Z	5/17/2022 0:00:00	Marina	12		83.8	82.4	76.4	78.5	2							Day 1 - Day 3	Both water bottles	0	Percent	""	""												010562_8/9/2022	010562_8/9/2022	yes	""	Kumar Lab	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	7.39999999999999	3.90000000000001	0.654867256637168		1
14193	Sucrose	SUC0002	010562	C57BL/6J	M	2022-08-12T00:00:00Z	5/17/2022 0:00:00	Marina	12.42		88.9	78.5	73.6	77.2	2							Day 3- Day 5	Sucrose Drinking	2	percent	""	""												010562_8/12/2022	010562_8/12/2022	yes	""	Kumar Lab	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	15.3	1.3	0.921686746987952		2
14201	Sucrose	SUC0002	010562	C57BL/6J	M	2022-08-14T00:00:00Z	5/17/2022 0:00:00	Marina	12.71		74.8	70.5	68.6	64.1	2							Day 5- Day 7	Sucrose Drinking	2	percent	""	""												010562_8/14/2022	010562_8/14/2022	yes	""	Kumar Lab	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	6.2	6.40000000000001	0.492063492063492		3
14209	Sucrose	SUC0002	010562	C57BL/6J	M	2022-08-16T00:00:00Z	5/17/2022 0:00:00	Marina	13		85.7	76	77.3	74.7	2							Day 7- Day 8	Sucrose Drinking	2	percent	""	""												010562_8/16/2022	010562_8/16/2022	yes	""	Kumar Lab	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	8.40000000000001	1.3	0.865979381443299		4
14184	Sucrose	SUC0002	010563	C57BL/6J	M	2022-08-09T00:00:00Z	5/17/2022 0:00:00	Marina	12		83.5	83.1	74.6	78.2	2							Day 1 - Day 3	Both water bottles	0	Percent	""	""												010563_8/9/2022	010563_8/9/2022	yes	""	Kumar Lab	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	8.90000000000001	4.89999999999999	0.644927536231885		1
14192	Sucrose	SUC0002	010563	C57BL/6J	M	2022-08-12T00:00:00Z	5/17/2022 0:00:00	Marina	12.42		82.5	78.2	61.6	76.7	2							Day 3- Day 5	Sucrose Drinking	2	percent	""	""												010563_8/12/2022	010563_8/12/2022	yes	""	Kumar Lab	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	20.9	1.5	0.933035714285714		2
14200	Sucrose	SUC0002	010563	C57BL/6J	M	2022-08-14T00:00:00Z	5/17/2022 0:00:00	Marina	12.71		62	75.1	43.9	73.6	2							Day 5- Day 7	Sucrose Drinking	2	percent	""	""												010563_8/14/2022	010563_8/14/2022	yes	""	Kumar Lab	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	18.1	1.5	0.923469387755102		3
14208	Sucrose	SUC0002	010563	C57BL/6J	M	2022-08-16T00:00:00Z	5/17/2022 0:00:00	Marina	13		83.8	75.7	72.9	75.2	2							Day 7- Day 8	Sucrose Drinking	2	percent	""	""												010563_8/16/2022	010563_8/16/2022	yes	""	Kumar Lab	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	10.9	0.5	0.956140350877193		4
14181	Sucrose	SUC0002	010584	C57BL/6J	M	2022-08-09T00:00:00Z	5/10/2022 0:00:00	Marina	13		81.2	83.7	74	80.1	2							Day 1 - Day 3	Both water bottles	0	Percent	""	""												010584_8/9/2022	010584_8/9/2022	yes	""	EM05	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	7.2	3.60000000000001	0.666666666666666		1
14189	Sucrose	SUC0002	010584	C57BL/6J	M	2022-08-12T00:00:00Z	5/10/2022 0:00:00	Marina	13.42		85.8	80.1	69.1	78.7	2							Day 3- Day 5	Sucrose Drinking	2	percent	""	""												010584_8/12/2022	010584_8/12/2022	yes	""	EM05	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	16.7	1.39999999999999	0.922651933701658		2
14197	Sucrose	SUC0002	010584	C57BL/6J	M	2022-08-14T00:00:00Z	5/10/2022 0:00:00	Marina	13.71		69.1	78.7	53.7	77.4	2							Day 5- Day 7	Sucrose Drinking	2	percent	""	""												010584_8/14/2022	010584_8/14/2022	yes	""	EM05	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	15.4	1.3	0.922155688622755		3
14205	Sucrose	SUC0002	010584	C57BL/6J	M	2022-08-16T00:00:00Z	5/10/2022 0:00:00	Marina	14		89.1	77.4	79	76.7	2							Day 7- Day 8	Sucrose Drinking	2	percent	""	""												010584_8/16/2022	010584_8/16/2022	yes	""	EM05	B6J	B6J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	10.1	0.700000000000003	0.935185185185185		4
14187	Sucrose	SUC0001	010586	DBA/1J	M	2022-08-09T00:00:00Z	5/17/2022 0:00:00	Marina	12		81.1	81.4	73.6	74.7	2							Day 1 - Day 3	Both water bottles	0	Percent	""	""												010586_8/9/2022	010586_8/9/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	7.5	6.7	0.528169014084507		1
14195	Sucrose	SUC0001	010586	DBA/1J	M	2022-08-12T00:00:00Z	5/17/2022 0:00:00	Marina	12.42		80.3	74.7	70	72.7	2							Day 3- Day 5	Sucrose Drinking	2	percent	""	""												010586_8/12/2022	010586_8/12/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	10.3	2	0.83739837398374		2
14203	Sucrose	SUC0001	010586	DBA/1J	M	2022-08-14T00:00:00Z	5/17/2022 0:00:00	Marina	12.71		73	79.5	65.3	72.1	2							Day 5- Day 7	Sucrose Drinking	2	percent	""	""												010586_8/14/2022	010586_8/14/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	7.7	7.40000000000001	0.509933774834437		3
14211	Sucrose	SUC0001	010586	DBA/1J	M	2022-08-16T00:00:00Z	5/17/2022 0:00:00	Marina	13		84.3	70.7	78.8	69.2	2							Day 7- Day 8	Sucrose Drinking	2	percent	""	""												010586_8/16/2022	010586_8/16/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	5.5	1.5	0.785714285714286		4
14186	Sucrose	SUC0001	010587	DBA/1J	M	2022-08-09T00:00:00Z	5/17/2022 0:00:00	Marina	12		82.1	82.1	79.1	67.8	2							Day 1 - Day 3	Both water bottles	0	Percent	""	""												010587_8/9/2022	010587_8/9/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	3	14.3	0.173410404624277		1
14194	Sucrose	SUC0001	010587	DBA/1J	M	2022-08-12T00:00:00Z	5/17/2022 0:00:00	Marina	12.42		81.7	82.7	73	79.5	2							Day 3- Day 5	Sucrose Drinking	2	percent	""	""												010587_8/12/2022	010587_8/12/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	8.7	3.2	0.73109243697479		2
14202	Sucrose	SUC0001	010587	DBA/1J	M	2022-08-14T00:00:00Z	5/17/2022 0:00:00	Marina	12.71		37.1	76.8	66	36.4	2							Day 5- Day 7	Sucrose Drinking	2	percent	""	""												010587_8/14/2022	010587_8/14/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	-28.9	40.4	-2.51304347826087		3
14210	Sucrose	SUC0001	010587	DBA/1J	M	2022-08-16T00:00:00Z	5/17/2022 0:00:00	Marina	13		89.4	72.1	86.9	69.9	2							Day 7- Day 8	Sucrose Drinking	2	percent	""	""												010587_8/16/2022	010587_8/16/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	2.5	2.19999999999999	0.531914893617023		4
14183	Sucrose	SUC0001	010588	DBA/1J	M	2022-08-09T00:00:00Z	5/17/2022 0:00:00	Marina	12		79.9	83.5	73.1	72.3	2							Day 1 - Day 3	Both water bottles	0	Percent	""	""												010588_8/9/2022	010588_8/9/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	6.80000000000001	11.2	0.377777777777778		1
14191	Sucrose	SUC0001	010588	DBA/1J	M	2022-08-12T00:00:00Z	5/17/2022 0:00:00	Marina	12.42		85.6	72.3	37.1	76.8	2							Day 3- Day 5	Sucrose Drinking	2	percent	""	""												010588_8/12/2022	010588_8/12/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	48.5	-4.5	1.10227272727273		2
14199	Sucrose	SUC0001	010588	DBA/1J	M	2022-08-14T00:00:00Z	5/17/2022 0:00:00	Marina	12.71		73.6	77.2	58.5	76	2							Day 5- Day 7	Sucrose Drinking	2	percent	""	""												010588_8/14/2022	010588_8/14/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	15.1	1.2	0.926380368098159		3
14207	Sucrose	SUC0001	010588	DBA/1J	M	2022-08-16T00:00:00Z	5/17/2022 0:00:00	Marina	13		89.2	82.8	86.1	78.8	2							Day 7- Day 8	Sucrose Drinking	2	percent	""	""												010588_8/16/2022	010588_8/16/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	3.10000000000001	4	0.43661971830986		4
14182	Sucrose	SUC0001	010589	DBA/1J	M	2022-08-09T00:00:00Z	5/17/2022 0:00:00	Marina	12		84.4	81.7	77.7	73.9	2							Day 1 - Day 3	Both water bottles	0	Percent	""	""												010589_8/9/2022	010589_8/9/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	6.7	7.8	0.462068965517242		1
14190	Sucrose	SUC0001	010589	DBA/1J	M	2022-08-12T00:00:00Z	5/17/2022 0:00:00	Marina	12.42		85.1	73.9	74.8	70.5	2							Day 3- Day 5	Sucrose Drinking	2	percent	""	""												010589_8/12/2022	010589_8/12/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	10.3	3.40000000000001	0.751824817518248		2
14198	Sucrose	SUC0001	010589	DBA/1J	M	2022-08-14T00:00:00Z	5/17/2022 0:00:00	Marina	12.71		61.6	76.7	43	75.7	2							Day 5- Day 7	Sucrose Drinking	2	percent	""	""												010589_8/14/2022	010589_8/14/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	18.6	1	0.948979591836735		3
14206	Sucrose	SUC0001	010589	DBA/1J	M	2022-08-16T00:00:00Z	5/17/2022 0:00:00	Marina	13		81.3	87.3	79.8	83.1	2							Day 7- Day 8	Sucrose Drinking	2	percent	""	""												010589_8/16/2022	010589_8/16/2022	yes	""	EM05	""	DBA1J	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	""	1.5	4.2	0.263157894736842		4
14227	Sucrose	SUC0009	010860	B6NJ-Cyfip2 S968F<J> (GET204)	M	2022-09-13T00:00:00Z	7/12/2022 0:00:00	Marina	9	24.5	85.6	88.3	83.7	83.8	2							Day 1- Day 3	Both water bottles	0	Percent	""	""											292437.53	010860_9/13/2022	010860_9/13/2022	yes	""	Kumar Lab	KOMP CTRL	GET204	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	1.89999999999999	4.5	0.296874999999999	0	1
14231	Sucrose	SUC0009	010860	B6NJ-Cyfip2 S968F<J> (GET204)	M	2022-09-15T00:00:00Z	7/12/2022 0:00:00	Marina	9.28	24.4	83.7	83.8	80.9	81.6	2							Day 3- Day 4	Sucrose Drinking	2	percent	""	""											277513.53	010860_9/15/2022	010860_9/15/2022	yes	""	Kumar Lab	KOMP CTRL	GET204	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	2.8	2.2	0.559999999999999	0.000114754098360656	2
14235	Sucrose	SUC0009	010860	B6NJ-Cyfip2 S968F<J> (GET204)	M	2022-09-16T00:00:00Z	7/12/2022 0:00:00	Marina	9.42	24.4	85.1	81.6	66.5	80.4	3							Day 4- Day 7	Sucrose Drinking	2	percent	""	""											231932.37	010860_9/16/2022	010860_9/16/2022	yes	""	Kumar Lab	KOMP CTRL	GET204	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	18.6	1.19999999999999	0.93939393939394	0.000508196721311475	3
14239	Sucrose	SUC0009	010860	B6NJ-Cyfip2 S968F<J> (GET204)	M	2022-09-19T00:00:00Z	7/12/2022 0:00:00	Marina	9.85	25.6	86.6	80.4	75.9	79.1	2							Day 7- Day 9	Sucrose Drinking	2	percent	""	""											256755.46	010860_9/19/2022	010860_9/19/2022	yes	""	Kumar Lab	KOMP CTRL	GET204	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	10.7	1.30000000000001	0.891666666666666	0.00041796875	4
14228	Sucrose	SUC0009	010861	B6NJ-Cyfip2 S968F<J> (GET204)	M	2022-09-13T00:00:00Z	7/12/2022 0:00:00	Marina	9	25.8	89.8	86.1	89.3	80.4	2							Day 1- Day 3	Both water bottles	0	Percent	""	""											310819.41	010861_9/13/2022	010861_9/13/2022	yes	""	Kumar Lab	KOMP CTRL	GET204	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	0.5	5.69999999999999	0.0806451612903227	0	1
14232	Sucrose	SUC0009	010861	B6NJ-Cyfip2 S968F<J> (GET204)	M	2022-09-15T00:00:00Z	7/12/2022 0:00:00	Marina	9.28	25.5	89.3	80.4	87.7	78.5	2							Day 3- Day 4	Sucrose Drinking	2	percent	""	""											307121.95	010861_9/15/2022	010861_9/15/2022	yes	""	Kumar Lab	KOMP CTRL	GET204	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	1.59999999999999	1.90000000000001	0.457142857142856	6.27450980392155e-05	2
14236	Sucrose	SUC0009	010861	B6NJ-Cyfip2 S968F<J> (GET204)	M	2022-09-16T00:00:00Z	7/12/2022 0:00:00	Marina	9.42	25.5	84.4	78.5	65.5	76.6	3							Day 4- Day 7	Sucrose Drinking	2	percent	""	""											216792.16	010861_9/16/2022	010861_9/16/2022	yes	""	Kumar Lab	KOMP CTRL	GET204	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	18.9	1.90000000000001	0.908653846153846	0.000494117647058824	3
14240	Sucrose	SUC0009	010861	B6NJ-Cyfip2 S968F<J> (GET204)	M	2022-09-19T00:00:00Z	7/12/2022 0:00:00	Marina	9.85	25.5	88.9	76.6	75.5	78.8	2							Day 7- Day 9	Sucrose Drinking	2	percent	""	""											263213.73	010861_9/19/2022	010861_9/19/2022	yes	""	Kumar Lab	KOMP CTRL	GET204	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	13.4	-2.2	1.19642857142857	0.000525490196078432	4
14226	Sucrose	SUC0010	010939	B6NJ-Bcl11b+/- Cyfip2-S968F<J> H Lethal	F	2022-09-13T00:00:00Z	7/10/2022 0:00:00	Marina	9.28	16.3	87.6	86.7	83.9	84.7	2							Day 1- Day 3	Both water bottles	0	Percent	""	""											450898.18	010939_9/13/2022	010939_9/13/2022	yes	""	Kumar Lab	KOMP	Bcl11b	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	3.69999999999999	2	0.649122807017543	0	1
14230	Sucrose	SUC0010	010939	B6NJ-Bcl11b+/- Cyfip2-S968F<J> H Lethal	F	2022-09-15T00:00:00Z	7/10/2022 0:00:00	Marina	9.57	16.2	83.9	84.7	81.7	82.3	2							Day 3- Day 4	Sucrose Drinking	2	percent	""	""											423125.28	010939_9/15/2022	010939_9/15/2022	yes	""	Kumar Lab	KOMP	Bcl11b	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	2.2	2.40000000000001	0.478260869565217	0.000135802469135803	2
14234	Sucrose	SUC0010	010939	B6NJ-Bcl11b+/- Cyfip2-S968F<J> H Lethal	F	2022-09-16T00:00:00Z	7/10/2022 0:00:00	Marina	9.71	16.2	84.9	82.3	64.6	80.9	3							Day 4- Day 7	Sucrose Drinking	2	percent	""	""											338551.83	010939_9/16/2022	010939_9/16/2022	yes	""	Kumar Lab	KOMP	Bcl11b	SPT: 3 days water, 4 days with 4% sucrose solution, 2 bottle choice for both	OM1: 3 days water, 4 days 20mg-L, 4 days 40mg-L oral methamphetamine	20.3	1.39999999999999	0.935483870967742	0.000835390946502058	3
